economy,series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AND,NY.GDP.PCAP.CD,,,,,,,,,,,3238.55684977329,3498.1736515232,4217.17358114253,5342.16856044208,6319.73903384837,7169.10100559556,7152.37513361051,7751.37021575891,9129.7061851808,11820.8493928325,12377.4116456877,10372.232834745,9610.26630831575,8022.65478128161,7728.90669456943,7774.39382903478,10361.8159820255,12616.167565929,14304.3569645785,15166.437850754,18878.5059692988,19532.5401504525,20547.7117897897,16516.4710272204,16234.8090102012,18461.0648581512,19017.1745902241,18353.0597218473,18894.5214963227,19261.7105038886,21854.2468030614,22971.535535508,25066.8822109807,32271.9639023596,37969.1749907994,40066.2569185146,42675.8127569297,47803.6936075266,48718.4968691913,43503.1855156769,40852.6667774434,43335.3288618283,38686.4612635075,39538.7667220426,41303.9293714464,35762.523073758,37474.6654057245,38962.8803536703,41793.0552583729,40886.3911648431,
AND,NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.97480774,66.44617462,67.64512634,64.78572845,62.91638184,64.97959137,60.65098572,60.66929626,66.73337555,69.14614105,70.63494873,68.5296402,67.2072525,66.89189148,68.21192169,68.98734283,69.09091187,69.7142868,67.93478394,,
AND,SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,SI.SPR.PC40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,FI.RES.TOTL.CD,,,,,,,,,,,,,,91723795.1680123,452878020.575418,987879902.290253,1979903725.58128,894066095.315775,942089886.92439,1727429507.68922,2354590963.61751,3471503445.10964,2588863919.62548,2384157753.81783,2538886189.44221,3471498477.32865,3689328862.79941,5120925342.79505,4768739333.46745,4776310581.99332,4890564527.19409,5646813747.1307,5977160986.47751,6415331634.69035,6963509610.43122,7778376180.61089,8350159123.92297,8603051266.48806,9305872456.3249,10790300349.0117,13631620189.1667,14256130113.4802,15355431325.3937,15087811903.6616,18529923697.6481,21010295842.2662,27617445822.5769,77238765358.1158,31694454694.0486,26104201597.7902,32785291883.4009,37269318422.5758,47035150430.9523,68202650660.2746,78424381665.0826,93929134196.4176,85390832746.3078,95377648625.516,99503335478.7452,108359358451.761,
ARE,NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,26847.7943802772,30118.1377833851,33823.3196498568,28456.7374380931,33512.741325999,42764.4566639901,44987.2097966579,40026.1662502465,34843.1028997611,32309.8077436844,29720.9194734633,23467.9766691997,23726.1523330469,22295.1461115987,24028.1928780116,27729.4664216648,26612.3355369691,26420.8727534823,25596.6922747864,25847.9261239252,27222.0358561647,28975.0229000791,29512.6637440248,26899.601766231,28470.8378632746,33291.419366353,31280.7842785952,31567.4737120596,33499.0937513705,36333.2498445266,39365.4339019123,41907.405655968,41809.516382842,44498.9342301633,32024.1816031187,33893.303514039,39194.6766208456,40976.4997112455,42412.6302780364,43751.8388860721,38663.3838066363,38141.8467585492,40644.804043392,43839.3563491413,43103.3230583165,
ARE,NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87226.539265433,85847.3220068388,85624.905810123,83847.7035377422,86706.2982363196,89724.4893268496,91943.1373649848,96179.9722131052,92627.8658909762,91710.3909498003,98363.731313815,96722.5963740878,95549.9701826708,99238.3363410692,101871.509406171,97669.9936042722,95678.2816433118,87101.6830876905,79730.9491122889,68166.4444111404,64881.8564596473,67686.3929453288,69102.4912887174,70374.2200605325,73619.1005840251,64901.8520246431,63968.853871334,67183.6265568253,68599.6181782301,70089.3240378269,
ARE,NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31400.0,31970.0,30940.0,32780.0,36160.0,37500.0,39380.0,39590.0,39910.0,35000.0,33400.0,35030.0,39220.0,42840.0,44330.0,42860.0,40570.0,39290.0,41470.0,43470.0,
ARE,NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103160.0,101460.0,96350.0,99190.0,102360.0,99230.0,97720.0,89930.0,80690.0,68870.0,64860.0,67710.0,69160.0,70460.0,73740.0,65220.0,64340.0,67670.0,68830.0,70430.0,
ARE,SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.83045959,77.01039886,61.22885513,61.27508163,57.10731125,56.84106445,57.30421448,58.67370224,63.91038895,73.68283081,70.85415649,72.42097473,72.54479218,71.97174072,70.97637939,71.25105286,71.59803772,54.81139374,51.57845688,,
ARE,SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,
ARE,SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,
ARE,SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,SI.SPR.PC40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.83,,,,,47.64,,
ARE,SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3,,,,,82.96,,
ARE,SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212130.998473816,203368.789536968,190659.4366651,189832.59749127,189451.44271921,190986.347320196,195843.989258757,185383.448701574,179501.984512556,186650.053937216,175971.672203853,167171.349524036,166163.02876919,161643.521378863,146249.661824939,135278.353559591,116346.067473297,101488.861944918,83850.4247504941,77313.1655740375,79346.0964289552,81465.4122578997,85382.1449540904,89098.5193455775,93147.7237041487,95720.1307379595,97884.1682488315,97683.6137958644,98187.901236301,
ARE,SP.DYN.LE00.IN,51.537,52.56,53.573,54.572,55.555,56.523,57.482,58.432,59.375,60.304,61.215,62.099,62.949,63.759,64.525,65.244,65.916,66.545,67.137,67.692,68.213,68.701,69.158,69.585,69.986,70.363,70.717,71.049,71.361,71.657,71.939,72.208,72.466,72.715,72.957,73.194,73.428,73.657,73.883,74.106,74.327,74.544,74.758,74.968,75.174,75.376,75.573,75.767,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.647,77.814,77.972,
